503|1|0.0|0.5|||0.088|
504|1|0.0|0.5|||0.156|
505|1|0.0|0.5|||0.107|
531|1|0.0|0.5|||0.059|
532|1|0.0|0.5|||0.135|
502|1|0.0|0.5|||0.073|
501|1|0.0|0.5|||0.028|
510|1|0.0|0.5|||0.087|
512|1|0.0|0.5|||0.036|
503|1|0.5|1.0|0.03|0.043||
504|1|0.5|1.0|0.065|0.093||
505|1|0.5|1.0|0.062|0.089||
531|1|0.5|1.0|0.03|0.043||
532|1|0.5|1.0|0.058|0.084||
502|1|0.5|1.0|0.034|0.049||
501|1|0.5|1.0|0.009|0.013||
510|1|0.5|1.0|0.039|0.058||
512|1|0.5|1.0|0.022|0.032||
503|2|1.0|4.0|0.022|0.028||
504|2|1.0|4.0|0.048|0.063||
505|2|1.0|4.0|0.045|0.058||
531|2|1.0|4.0|0.022|0.028||
532|2|1.0|4.0|0.041|0.054||
502|2|1.0|4.0|0.024|0.032||
501|2|1.0|4.0|0.006|0.008||
510|2|1.0|4.0|0.028|0.037||
512|2|1.0|4.0|0.016|0.021||
503|2|4.0|9.0|0.018|0.022||
504|2|4.0|9.0|0.04|0.049||
505|2|4.0|9.0|0.037|0.046||
531|2|4.0|9.0|0.018|0.022||
532|2|4.0|9.0|0.033|0.041||
502|2|4.0|9.0|0.019|0.024||
501|2|4.0|9.0|0.005|0.006||
510|2|4.0|9.0|0.023|0.028||
512|2|4.0|9.0|0.013|0.016||
503|3|9.0|14.0|0.018|0.022||
504|3|9.0|14.0|0.04|0.049||
505|3|9.0|14.0|0.037|0.046||
531|3|9.0|14.0|0.018|0.022||
532|3|9.0|14.0|0.033|0.041||
502|3|9.0|14.0|0.019|0.024||
501|3|9.0|14.0|0.005|0.006||
510|3|9.0|14.0|0.023|0.028||
512|3|9.0|14.0|0.013|0.017||
503|4|9.0|14.0|0.017|0.021||
504|4|9.0|14.0|0.038|0.047||
505|4|9.0|14.0|0.035|0.043||
531|4|9.0|14.0|0.017|0.021||
532|4|9.0|14.0|0.031|0.038||
502|4|9.0|14.0|0.018|0.022||
501|4|9.0|14.0|0.005|0.006||
510|4|9.0|14.0|0.022|0.027||
512|4|9.0|14.0|0.012|0.015||
503|3|14.0|19.0|0.017|0.021||
504|3|14.0|19.0|0.038|0.047||
505|3|14.0|19.0|0.035|0.043||
531|3|14.0|19.0|0.017|0.021||
532|3|14.0|19.0|0.031|0.038||
502|3|14.0|19.0|0.018|0.022||
501|3|14.0|19.0|0.005|0.006||
510|3|14.0|19.0|0.022|0.027||
512|3|14.0|19.0|0.012|0.015||
503|4|14.0|19.0|0.016|0.019||
504|4|14.0|19.0|0.035|0.044||
505|4|14.0|19.0|0.032|0.04||
531|4|14.0|19.0|0.016|0.019||
532|4|14.0|19.0|0.028|0.035||
502|4|14.0|19.0|0.017|0.021||
501|4|14.0|19.0|0.004|0.005||
510|4|14.0|19.0|0.02|0.024||
512|4|14.0|19.0|0.012|0.014||
503|3|19.0|200.0|0.015|0.019||
504|3|19.0|200.0|0.034|0.042||
505|3|19.0|200.0|0.031|0.038||
531|3|19.0|200.0|0.015|0.019||
532|3|19.0|200.0|0.027|0.033||
502|3|19.0|200.0|0.016|0.02||
501|3|19.0|200.0|0.004|0.005||
510|3|19.0|200.0|0.019|0.024||
512|3|19.0|200.0|0.011|0.014||
503|4|19.0|200.0|0.015|0.019||
504|4|19.0|200.0|0.034|0.042||
505|4|19.0|200.0|0.031|0.038||
531|4|19.0|200.0|0.015|0.019||
532|4|19.0|200.0|0.027|0.033||
502|4|19.0|200.0|0.016|0.02||
501|4|19.0|200.0|0.004|0.005||
510|4|19.0|200.0|0.019|0.024||
512|4|19.0|200.0|0.011|0.014||
503|5|14.0|51.0|0.02|0.025||
504|5|14.0|51.0|0.045|0.056||
505|5|14.0|51.0|0.041|0.051||
531|5|14.0|51.0|0.02|0.025||
532|5|14.0|51.0|0.036|0.044||
502|5|14.0|51.0|0.021|0.026||
501|5|14.0|51.0|0.005|0.007||
510|5|14.0|51.0|0.025|0.031||
512|5|14.0|51.0|0.015|0.018||
503|6|14.0|51.0|0.024|0.03||
504|6|14.0|51.0|0.05|0.062||
505|6|14.0|51.0|0.042|0.052||
531|6|14.0|51.0|0.021|0.026||
532|6|14.0|51.0|0.041|0.051||
502|6|14.0|51.0|0.024|0.03||
501|6|14.0|51.0|0.007|0.009||
510|6|14.0|51.0|0.028|0.035||
512|6|14.0|51.0|0.015|0.019||
203|1|0.0|0.5|||1.52|
203|1|0.5|1.0|1.0|1.2||
203|2|1.0|4.0|0.87|1.05||
203|2|4.0|9.0|0.76|0.95||
203|3|9.0|14.0|0.76|0.95||
203|4|9.0|14.0|0.76|0.95||
203|3|14.0|19.0|0.73|0.85||
203|4|14.0|19.0|0.71|0.85||
203|3|19.0|200.0|0.66|0.8||
203|4|19.0|200.0|0.66|0.8||
203|5|14.0|51.0|0.88|1.1||
203|6|14.0|51.0|1.05|1.3||
